,date,state,cases,deaths,total_population,num_deaths,mean_temp,precipitation,wind_speed,percent_smokers,percent_adults_with_obesity,percent_insufficient_sleep,state-code
6404,2020-05-04,Kentucky,5363,267.0,4305020.0,71650.0,63.21363636363636,0.16602739726027396,4.043396226415094,22.00090431711607,35.18839285714286,38.51299375960714,21
6405,2020-05-05,Kentucky,5801,278.0,4305020.0,71650.0,57.265454545454546,0.33853333333333335,6.416981132075472,22.00090431711607,35.18839285714286,38.51299375960714,21
6406,2020-05-06,Kentucky,5946,285.0,4305020.0,71650.0,50.11181818181819,0.07853932584269663,6.59622641509434,22.00090431711607,35.18839285714286,38.51299375960714,21
6407,2020-05-07,Kentucky,6170,301.0,4333051.0,72411.0,51.71261261261262,0.004144144144144144,5.366355140186917,22.042564914893806,35.163716814159294,38.54729909637168,21
6408,2020-05-08,Kentucky,6298,303.0,4333051.0,72411.0,52.35495495495495,0.08533333333333334,6.346728971962617,22.042564914893806,35.163716814159294,38.54729909637168,21
6409,2020-05-09,Kentucky,6469,312.0,4333051.0,72411.0,44.45315315315315,0.29359223300970877,4.867289719626168,22.042564914893806,35.163716814159294,38.54729909637168,21
6410,2020-05-10,Kentucky,6486,312.0,4333051.0,72411.0,51.54414414414414,0.00043956043956043956,6.455140186915888,22.042564914893806,35.163716814159294,38.54729909637168,21
6411,2020-05-11,Kentucky,6710,325.0,4333051.0,72411.0,47.833333333333336,0.0031632653061224487,6.855140186915888,22.042564914893806,35.163716814159294,38.54729909637168,21
6412,2020-05-12,Kentucky,7003,333.0,4333051.0,72411.0,48.81801801801802,0.002,2.4971962616822427,22.042564914893806,35.163716814159294,38.54729909637168,21
6413,2020-05-13,Kentucky,7036,334.0,4333051.0,72411.0,51.5981981981982,0.04118421052631579,3.4429906542056075,22.042564914893806,35.163716814159294,38.54729909637168,21
6414,2020-05-14,Kentucky,7397,341.0,4333051.0,72411.0,64.71711711711713,0.15526315789473685,6.606542056074766,22.042564914893806,35.163716814159294,38.54729909637168,21
6415,2020-05-15,Kentucky,7578,343.0,4333051.0,72411.0,70.93963963963964,0.03292929292929293,7.628971962616822,22.042564914893806,35.163716814159294,38.54729909637168,21
6416,2020-05-16,Kentucky,7773,346.0,4345938.0,72692.0,71.12589285714286,0.19920000000000002,2.660185185185185,22.0711894894386,35.17631578947368,38.606328993,21
6417,2020-05-17,Kentucky,7793,346.0,4345938.0,72692.0,72.14910714285715,0.06125,4.6648148148148145,22.0711894894386,35.17631578947368,38.606328993,21
6418,2020-05-18,Kentucky,8041,354.0,4373614.0,73400.0,69.01769911504425,0.13246753246753246,5.6862385321100914,22.118817414826086,35.19565217391305,38.62123160692173,21
6419,2020-05-19,Kentucky,8205,369.0,4380835.0,73574.0,61.36754385964912,0.6861538461538461,4.113636363636363,22.17879975916379,35.203448275862065,38.66801622535345,21
6420,2020-05-20,Kentucky,8336,381.0,4388496.0,73711.0,58.23826086956522,0.2816867469879518,6.500900900900901,22.22241431382906,35.243589743589745,38.68616291622222,21
6421,2020-05-21,Kentucky,8475,393.0,4388496.0,73711.0,59.05391304347826,0.0666265060240964,4.724324324324324,22.22241431382906,35.243589743589745,38.68616291622222,21
6422,2020-05-22,Kentucky,8688,398.0,4388496.0,73711.0,65.05826086956522,0.05945054945054945,2.3765765765765767,22.22241431382906,35.243589743589745,38.68616291622222,21
6423,2020-05-23,Kentucky,8812,399.0,4388496.0,73711.0,71.16260869565217,0.023440860215053764,4.094594594594595,22.22241431382906,35.243589743589745,38.68616291622222,21
6424,2020-05-24,Kentucky,8842,399.0,4388496.0,73711.0,73.94128440366973,0.15627659574468084,4.161904761904762,22.22241431382906,35.243589743589745,38.68616291622222,21
6425,2020-05-25,Kentucky,8899,403.0,4388496.0,73711.0,74.41652173913043,0.0461,3.3900900900900903,22.22241431382906,35.243589743589745,38.68616291622222,21
6426,2020-05-26,Kentucky,9175,407.0,4388496.0,73711.0,73.80956521739131,0.03979591836734694,3.954954954954955,22.22241431382906,35.243589743589745,38.68616291622222,21
6427,2020-05-27,Kentucky,9313,420.0,4388496.0,73711.0,72.0904347826087,0.06417582417582418,4.1441441441441444,22.22241431382906,35.243589743589745,38.68616291622222,21
6428,2020-05-28,Kentucky,9510,424.0,4395392.0,73893.0,72.35000000000001,0.16555555555555557,4.416071428571429,22.2596371930339,35.28220338983051,38.707918440669495,21
6429,2020-05-29,Kentucky,9688,434.0,4395392.0,73893.0,70.54482758620689,0.0890909090909091,5.583035714285714,22.2596371930339,35.28220338983051,38.707918440669495,21
6430,2020-05-30,Kentucky,9887,441.0,4395392.0,73893.0,67.70344827586207,0.028137254901960784,3.9071428571428575,22.2596371930339,35.28220338983051,38.707918440669495,21
6431,2020-05-31,Kentucky,9937,441.0,4395392.0,73893.0,65.09655172413792,0.0,4.845535714285715,22.2596371930339,35.28220338983051,38.707918440669495,21
6432,2020-06-01,Kentucky,10150,445.0,4395392.0,73893.0,63.73275862068966,0.0,3.2098214285714284,22.2596371930339,35.28220338983051,38.707918440669495,21
6433,2020-06-02,Kentucky,10287,451.0,4409798.0,74253.0,72.78655462184874,0.0,4.939130434782609,22.2839709297563,35.3218487394958,38.7055770975126,21
6434,2020-06-03,Kentucky,10485,458.0,4409798.0,74253.0,76.7747899159664,0.0,5.818421052631579,22.2839709297563,35.3218487394958,38.7055770975126,21
6435,2020-06-04,Kentucky,10781,469.0,4409798.0,74253.0,75.79411764705883,0.05075268817204301,5.4298245614035086,22.2839709297563,35.3218487394958,38.7055770975126,21
6436,2020-06-05,Kentucky,11051,476.0,4409798.0,74253.0,73.78403361344537,0.6444578313253012,3.1210526315789475,22.2839709297563,35.3218487394958,38.7055770975126,21
6437,2020-06-06,Kentucky,11359,480.0,4409798.0,74253.0,78.00084033613446,0.027606837606837607,2.3473684210526318,22.2839709297563,35.3218487394958,38.7055770975126,21
6438,2020-06-07,Kentucky,11393,481.0,4409798.0,74253.0,77.28571428571429,0.0,4.287719298245614,22.2839709297563,35.3218487394958,38.7055770975126,21
6439,2020-06-08,Kentucky,11701,487.0,4409798.0,74253.0,74.53949579831934,0.0,5.1991228070175435,22.2839709297563,35.3218487394958,38.7055770975126,21
6440,2020-06-09,Kentucky,11891,494.0,4409798.0,74253.0,78.40588235294119,0.014414414414414415,7.605263157894737,22.2839709297563,35.3218487394958,38.7055770975126,21
6441,2020-06-10,Kentucky,12029,498.0,4409798.0,74253.0,80.00840336134453,0.058076923076923075,9.885964912280702,22.2839709297563,35.3218487394958,38.7055770975126,21
6442,2020-06-11,Kentucky,12128,513.0,4409798.0,74253.0,71.35714285714286,0.09813084112149532,6.1747663551401875,22.2839709297563,35.3218487394958,38.7055770975126,21
6443,2020-06-12,Kentucky,12352,525.0,4409798.0,74253.0,71.53781512605042,0.0,2.990350877192982,22.2839709297563,35.3218487394958,38.7055770975126,21
6444,2020-06-13,Kentucky,12605,527.0,4409798.0,74253.0,71.47478991596638,0.0,2.4210526315789473,22.2839709297563,35.3218487394958,38.7055770975126,21
6445,2020-06-14,Kentucky,12652,527.0,4409798.0,74253.0,66.58823529411765,0.05855421686746989,4.242982456140351,22.2839709297563,35.3218487394958,38.7055770975126,21
6446,2020-06-15,Kentucky,12863,524.0,4409798.0,74253.0,65.36302521008403,0.04413793103448276,4.114035087719298,22.2839709297563,35.3218487394958,38.7055770975126,21
6447,2020-06-16,Kentucky,12899,530.0,4409798.0,74253.0,67.31428571428572,0.0,4.891304347826087,22.2839709297563,35.3218487394958,38.7055770975126,21
6448,2020-06-17,Kentucky,13190,536.0,4409798.0,74253.0,68.18151260504202,0.00010638297872340425,3.471304347826087,22.2839709297563,35.3218487394958,38.7055770975126,21
6449,2020-06-18,Kentucky,13391,540.0,4409798.0,74253.0,69.31344537815126,0.0035164835164835165,2.1634782608695655,22.2839709297563,35.3218487394958,38.7055770975126,21
6450,2020-06-19,Kentucky,13629,542.0,4409798.0,74253.0,72.57563025210084,0.11186274509803922,2.814782608695652,22.2839709297563,35.3218487394958,38.7055770975126,21
6451,2020-06-20,Kentucky,13800,542.0,4409798.0,74253.0,75.98655462184874,0.006666666666666666,3.0217391304347827,22.2839709297563,35.3218487394958,38.7055770975126,21
6452,2020-06-21,Kentucky,13919,544.0,4409798.0,74253.0,74.49495798319327,0.08466666666666667,3.214782608695652,22.2839709297563,35.3218487394958,38.7055770975126,21
6453,2020-06-22,Kentucky,14073,549.0,4409798.0,74253.0,73.8655462184874,0.3251764705882353,4.74,22.2839709297563,35.3218487394958,38.7055770975126,21
6454,2020-06-23,Kentucky,14323,559.0,4409798.0,74253.0,74.49243697478992,0.22271604938271605,6.855652173913043,22.2839709297563,35.3218487394958,38.7055770975126,21
6455,2020-06-24,Kentucky,14522,561.0,4409798.0,74253.0,71.48403361344538,0.10663551401869159,3.762280701754386,22.2839709297563,35.3218487394958,38.7055770975126,21
6456,2020-06-25,Kentucky,14793,569.0,4409798.0,74253.0,72.47563025210084,0.01574074074074074,2.763157894736842,22.2839709297563,35.3218487394958,38.7055770975126,21
6457,2020-06-26,Kentucky,15033,575.0,4409798.0,74253.0,74.56974789915965,0.01016949152542373,4.742982456140351,22.2839709297563,35.3218487394958,38.7055770975126,21
